"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"8481",5231885,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","noD 0 trial"
"954",5190042,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-4","multiple 24 positive"
"10343",5190042,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-5","noD 0 trial"
"1186",5190042,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","4","multiple 72 positive"
"12741",5190042,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","1","multiple 8 positive"
"13803",5179877,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","multiple 24 positive"
"1468",5179877,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","2","multiple 8 positive"
"1548",5179877,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","2","noD 0 trial"
"17001",5179877,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","multiple 72 positive"
"1806",5170603,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","8","multiple 24 positive"
"1886",5170603,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","5","noD 0 trial"
"2038",5170603,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","2","multiple 72 positive"
"21261",5170603,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","multiple 8 positive"
"2216",5132497,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","multiple 8 positive"
"2368",5132497,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","4","multiple 72 positive"
"2472",5132497,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","multiple 24 positive"
"25521",5132497,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","noD 0 trial"
"2706",5123371,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","6","multiple 72 positive"
"2794",5123371,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","4","multiple 8 positive"
"2874",5123371,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-4","noD 0 trial"
"29781",5123371,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-3","multiple 24 positive"
"3084",5089633,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","2","multiple 24 positive"
"3172",5089633,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","4","multiple 8 positive"
"3252",5089633,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","noD 0 trial"
